Model Name,Release Year,Color,Series
'49 Drag Merc,2012,Matte Black,HW Performance 12
'49 Drag Merc,2012,White,Boulevard - Legends
Baja Breaker,2012,Metalflake Blue,HW Performance '12
Baja Breaker,2012,Metalflake Black,HW Performance '12
Baja Breaker,2012,Satin Gray,HW Performance '12
Baja Breaker,2012,ZAMAC,Nostalgic Brands - Nose Art
'70 Camaro Road Race,2012,Red,HW Performance '12
'70 Camaro Road Race,2012,Spectraflame Red,HW Performance '12
'70 Camaro Road Race,2012,Metalflake Black,HW Performance '12
'70 Camaro Road Race,2012,Orange,Super Speeders
Olds 442,2012,Pearl White,HW Performance 12
Dodge Viper GTS-R,2012,White,HW Performance 12
Dodge Viper GTS-R,2012,Blue,HW Performance 12
Super Modified,2012,Metalflake Dark Blue,HW Performance
8 Crate,2012,Matte Black,HW Performance 12
8 Crate,2012,Metalflake Yellow,HW Performance 12
'86 Chevy Monte Carlo SS,2012,Metalflake Teal,HW Performance 12
'86 Chevy Monte Carlo SS,2012,Metalflake Blue,HW Performance 12
'86 Chevy Monte Carlo SS,2012,Orange,HW Performance 12
'86 Chevy Monte Carlo SS,2012,Metalflake Plum,Super Speeders
Hummer H2,2012,Orange,HW Performance 12
Volkswagen Beetle,2012,Metalflake Dark Blue,Heat Fleet 12
Volkswagen Beetle,2012,Metalflake Dark Blue,Heat Fleet 12
Volkswagen Beetle,2012,Spectraflame Dark Blue,Heat Fleet 12
Volkswagen Beetle,2012,Pink,Heat Fleet 12
Twin Mill III,2012,Metalflake Burgudy,Heat Fleet 12
Twin Mill III,2012,Metalflake Matte Blue,Heat Fleet 12
Dodge Challenger Concept,2012,Metalflake Green,Heat Fleet 12
Dodge Challenger Concept,2012,Metalflake Green,Heat Fleet 12
Custom '62 Chevy,2012,Blue,Heat Fleet 12
Volkswagen Brasilia,2012,Metalflake Red,Heat Fleet 12
Volkswagen Brasilia,2012,Lime Green,Heat Fleet 12
GMC Motorhome,2012,Metalflake Purple,Heat Fleet
GMC Motorhome,2012,Metalflake Blue,Nostalgic Brands - Atari
Nissan 350Z,2012,Metalflake Gray,Heat Fleet 12
2008 Lancer Evolution,2012,Orange,Heat Fleet 12
Mitsubishi 2008 Lancer Evolution,2012,Purple,Heat Fleet 12
2008 Lancer Evolution,2012,TRANSPARENT YELLOW TO PURPLE,COLOR SHIFTERS - X-RAYS
'70 Pontiac GTO,2012,Black,Heat Fleet 12
'70 Pontiac GTO,2012,White,Mystery Models
Honda Civic Si,2012,Metalflake Dark Blue,Heat Fleet 12
Honda Civic Si,2012,Pearl Green,Boulevard - Big Hits
'11 Dodge Charger R/T,2012,Red,HW Main Street '12
'11 Dodge Charger R/T,2012,Spectraflame Red,HW Main Street '12
'11 Corvette Grand Sport,2012,Red,HW Main Street '12
'11 Corvette Grand Sport,2012,Pearl White,HW Main Street '12
'11 Corvette Grand Sport,2012,Yellow,HW Main Street '12
'70 Camaro RS,2012,White,HW Main Street 12
Chevy Silverado,2012,Pearl White,HW Main Street 12
'69 Pontiac GTO Judge,2012,White,HW Main Street 12
'65 Corvette,2012,White,HW Main Street 12
2010 Ford Mustang GT,2012,Black & White,HW Main Street 12
2010 Ford Mustang GT,2012,Blue,HW Main Street 12
'69 Mercury Cougar Eliminator,2012,Red,HW Main Street 12
